station_name;lat;long
Melesse;48.205030;-1.681340
Villejean;48.117970;-1.702540
Thabor;48.114990;-1.666190
La-Lice;48.156640;-1.634200
Griffon;48.110930;-1.683520
Poterie;48.087880;-1.642450
Binquenais;48.090790;-1.661890
Morinais;48.181680;-1.622120
Savio;48.143770;-1.632250
Gallets;48.126100;-1.642270
Cimetiere-Est;48.103610;-1.648790
Cleunay;48.102720;-1.704830
Brequigny;48.084740;-1.685940
Villeneuve;48.097900;-1.683050
Bintinais;48.079410;-1.664530
Champs-Libres;48.104790;-1.674010
Anatole-France;48.117353;-1.687970
Vezin-Coquet;48.120340;-1.752810
Beaulieu-OSUR;48.117910;-1.639500
Cesson-ZI;48.107500;-1.612800
Saint-Jacques;48.069280;-1.735510
Mi-Foret;48.188731;-1.544508
St-Denis;48.194987;-1.580328

